股票代码,股票简称,年份,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),所处行业
603799,华友钴业,2015,0.07,903577795.06,30082797.14,1.45,1.1265325695,3.875829028096,-0.877296717531,17.622772743,0.4485,能源金属
603799,华友钴业,2016,0.03,1053247704.19,16122382.54,0.64,16.5641420084,4.926219879277,-0.588236985893,17.2214395814,-2.5798,能源金属
603799,华友钴业,2017,-0.07,1052482439.9,-34905920.27,-1.47,-0.0726575797,4.385710600179,-0.185081730432,11.0590957224,26.2341,能源金属
603799,华友钴业,2018,0.42,1747176309.12,251661353.99,5.63,66.0052693407,7.758570145178,-0.27631864632,31.0485336676,24.7,能源金属
603799,华友钴业,2019,1.03,3430715938.03,850522240.13,13.31,96.3577413523,11.393021683804,-0.271710288942,35.1136842458,-2.1825,能源金属
603799,华友钴业,2020,0.01,4400899970.55,12356321.99,0.16,28.279346062,9.076736359625,0.067425630721,12.0168588636,0.543,能源金属
603799,华友钴业,2021,0.17,4424395821.46,183503528.41,2.25,0.5338874109,7.720875883916,0.058753874498,13.6828995499,-8.3996,能源金属
603799,华友钴业,2022,0.56,6424126825.03,654190512.39,5.34,45.1978322977,13.640445500138,0.774618866828,20.6967271628,1.196,能源金属
603799,华友钴业,2023,0.76,13211980166.94,1206305555.4,6.03,105.6618825684,16.877323510529,0.125910819881,18.4658277556,5.5232,能源金属
603800,道森股份,2016,0.1389,213356377.9,21672137.11,4.29,0,0,0,26.6417452759,0,专用设备
603800,道森股份,2017,-0.0965,75025584.64,-20071493.86,-2.05,-64.8355557127,4.669180196587,-0.198158262356,8.0985571911,-35.007,专用设备
603800,道森股份,2018,0.035,146501744.35,7279040.02,0.8,95.2690472896,4.408668889663,-0.081784803317,17.4983408312,2.7576,专用设备
603800,道森股份,2019,-0.0053,205887343.08,-1092980.34,-0.12,40.5357622146,4.482548344423,-0.03163041875,18.6113668605,-30.2447,专用设备
603800,道森股份,2020,0.0849,248944979.06,17666569.9,1.74,20.9132020142,4.91472026226,-0.17916856875,26.5948806198,-37.9206,专用设备
603800,道森股份,2021,0.0055,91044309.07,1143551.06,0.11,-63.4279392122,4.874717336442,0.028201581346,33.86211565,-73.5713,专用设备
603800,道森股份,2022,-0.1327,173268040.91,-27594165.17,-3.09,90.3117753102,4.231739283125,-0.404195649135,11.7978919959,-37.6491,专用设备
603800,道森股份,2023,-0.1004,291795109.3,-20878730.35,-2.43,68.4067689387,4.070775007692,-0.498043436202,12.2828033396,-30.9642,专用设备
603801,志邦家居,2017,0.1122,206926077.18,13469538.49,2.6,0,0,0,40.2345186622,0,装修建材
603801,志邦家居,2018,0.1695,284713120.74,20343375.63,3.01,37.591706478,5.302216701083,-0.67639881975,37.4923808613,-40.0537,装修建材
603801,志邦家居,2019,0.1885,393699752.68,30154042.66,1.76,38.2794553538,10.810409058625,-0.995023335938,36.8124405473,-41.4213,装修建材
603801,志邦家居,2020,0.1421,414176781.84,31633313.15,1.69,5.2011790763,11.684443538625,-0.798991814125,37.9214261075,-40.745,装修建材
603801,志邦家居,2021,-0.2032,326424853.31,-44687572.4,-2.34,-21.1870709266,8.430277914056,-0.969405898743,37.6628599395,-67.493,装修建材
603801,志邦家居,2022,0.1611,682512116.79,50599238.65,2.24,109.0870562916,10.309684694933,-0.886140962416,36.4766761433,-53.5126,装修建材
603801,志邦家居,2023,0.1638,758736722.02,51289982.53,1.96,11.1682420509,8.181815500768,-0.937808661325,35.0832888583,-58.5531,装修建材
603803,瑞斯康达,2017,0.16,494908382.48,58454756.33,0,0,0,0,57.3448747338,0,通信设备
603803,瑞斯康达,2018,0.16,478847570.22,59533285.67,3.74,-3.2452091798,4.451408102581,-0.45438873354,56.5709917449,-6.6324,通信设备
603803,瑞斯康达,2019,0.09,452448108.31,35829322.81,1.44,-5.5131243326,5.943840354398,-0.214348175222,49.365173941,-22.6593,通信设备
603803,瑞斯康达,2020,0.1,727543246.14,41697705.48,1.67,60.8014781756,5.979693142228,-0.352069449804,30.3666434294,2.905,通信设备
603803,瑞斯康达,2021,-0.11,170625370.11,-47568302.59,-0.02,-76.5477349951,6.123916323589,-0.246695073306,46.716349174,-61.8667,通信设备
603803,瑞斯康达,2022,-0.02,345440500.95,-6591804.01,0,102.4555320978,6.364538314073,-0.419471971961,42.4175343126,-36.0677,通信设备
603803,瑞斯康达,2023,0.07,430212659.98,28003874.02,1.51,24.5403068826,4.439942185017,0.077994321709,40.8807926266,-18.5109,通信设备
603806,福斯特,2015,0.3,460007759.67,102549021.5,5.25,0,0,0,36.6700381491,-24.1116,光伏设备
603806,福斯特,2016,0.27,738353798.54,108311418.81,2.81,60.5089877331,9.727509363259,-0.478969972363,31.4138888157,13.7598,光伏设备
603806,福斯特,2017,0.4,896750656.36,159721407.17,3.67,21.4527043991,11.015580416269,-0.014056224005,34.0324867281,0.1202,光伏设备
603806,福斯特,2018,0.25,1001512237.24,100314599.86,2.26,11.6823534097,12.300424784751,-0.526055944602,20.2453982798,-0.3086,光伏设备
603806,福斯特,2019,0.25,1059511873.23,101610076.27,2,5.7912059217,12.760145057289,-0.040370424129,19.6307457175,-10.6422,光伏设备
603806,福斯特,2020,0.41,1614589622.06,215985514.44,3.81,52.389950774,11.042121288883,-0.353364663567,18.5174023334,15.4068,光伏设备
603806,福斯特,2021,0.21,1508974971.87,154846400.3,2.35,-6.5412689854,12.323307006927,-0.262392967681,21.8440661856,-15.581,光伏设备
603806,福斯特,2022,0.54,2814321050.91,495039346.85,5.35,86.5054824218,11.894475335332,-1.001326700283,28.9658272892,-3.7452,光伏设备
603806,福斯特,2023,0.25,3884303667.81,339053406.91,2.75,38.0192095196,13.156788052148,-0.159211884033,16.3696734413,-1.1184,光伏设备
603808,歌力思,2015,0.2786,174697901.12,33430854.13,5.562,0,0,0,72.9775501266,0,纺织服装
603808,歌力思,2016,0.28,179122529.53,33754673.06,5,2.5327312931,5.765554730417,0.5663488685,66.1352160674,-13.2366,纺织服装
603808,歌力思,2017,0.14,180260654.8,23824095.87,1.56,0.6353892349,9.298140835757,0.079929327788,68.3245399761,-30.3823,纺织服装
